,nombre,direccion
0,OFFSHORE FIRE CONTROL INSTRUMENTS  SA DE CV,CALLE 17 D 310 nan BENITO JUAREZ CARMEN 24180 Campeche
1,SERVICIOS Y ASESORIAS MAYFE  SA DE CV,33 B 27 ALTOS ######## LOMAS DE HOLCHE CARMEN 24169 Campeche
2,NEGOCIACIONES VILCHIS FERNANDEZ  SA DE CV,CALLE 24 SN nan CENTRO ESCARCEGA 24350 Campeche
3,MARTINEZ GARCIA MAGARQUITECTOS  SA DE CV,DIAGONAL RAMON LARRAINZAR 110 1 SAN RAMON SAN CRISTOBAL DE LAS CASAS 29240 Chiapas
4,LLANTAS Y ADITAMENTOS DE LOS ALTOS SA DE CV,DIAG HNOS PANIAGUA 18 nan SAN RAMON SAN CRISTOBAL DE LAS CASAS 29240 Chiapas
5,MICROSIP DEL SURESTE SA DE CV,CALLE 18 301B nan RESIDENCIAL CAMARA D MERIDA 97133 Yucatan
6,DISEO INMOBILIARIO DEL SURESTE  SA DE CV,CALLE 19 131 B MEXICO NTE MERIDA 97128 Yucatan
7,TUPSSAFLEX  SA DE CV,CALLE 20 SN nan SAN FRANCISCO UMAN 97390 Yucatan
8,ALMACENES DE MERIDA FARAON  SA DE CV,CALLE 54 515 A nan CENTRO MERIDA 97000 Yucatan
9,PLASTIC DEPOT  SA DE CV,CALLE 67 511 A MULCHECHEN KANASIN 97370 Yucatan
10,LACTEOS FINOS LA MESA BADI MR  SA DE CV,ESCUADRON 201 720 nan ZNA CENTRO CHIHUAHUA 31000 Chihuahua
11,DISTRIBUIDORA DE CITRICOS TAMEZ  SA DE CV,JUAN PABLO II 4701 EE B1 AEROPUERTO CHIHUAHUA 31384 Chihuahua
12,LA CORDILLERA DE LA REGINA  SA DE CV,BLVD JUAN PABLO II 4701 CCEB 10 AEROPUERTO CHIHUAHUA 31384 Chihuahua
13,QUESERIA LUGO  SA DE CV,CALLE 15A 9505 nan APTO CHIHUAHUA 31384 Chihuahua
14,AGROFE  SA DE CV,KM 4 CARRETERA CUAUHTEMOC A ALVARO OBREGON SN nan CAMPO 2A CUAUHTEMOC 31604 Chihuahua
15,MULTISERVICIO OBREGON SA DE CV,AV CUAUHTEMOC SN nan COL ALVARO OBREGON C CUAUHTEMOC 31610 Chihuahua
16,COMUNICACIONES CELLULAR PLANET  SA DE CV,CALLE 18A 1616 nan CIUDAD CUAUHTEMOC CE CUAUHTEMOC 31500 Chihuahua
17,FERROMANUFACTURAS LOZANO  SA DE CV,AV GUERRERO Y 11A 980 nan CIUDAD CUAUHTEMOC CENTRO CUAUHTEMOC 31500 Chihuahua
18,COMERCIAL NW  SA DE CV,DOMICILIO CONOCIDO SN nan RIVA PALACIO RIVA PALACIO 31640 Chihuahua
19,ADEMES Y MAQUINARIA DE CUAUHTEMOC  SA DE CV,CAMPO 19# APDO# 68 S#N nan CAMPO NUMERO 19 CUAUHTEMOC 31607 Chihuahua
20,CONEXIONES BANMAN SA DE CV,KM 29 SIN NUMERO CAMPO 8 Y MEDIO SN nan CAMPO 8#5 CUAUHTEMOC 31614 Chihuahua
21,"SUPER CORTES, SA DE CV",PERIMETRAL CARLOS AMAYA 2125 13 PARTIDO IGLESIAS JUAREZ 32390 Chihuahua
22,COSAT  SA DE CV,PASEO DE LA VICTORIA 4370 425 PARTIDO IGLESIAS JUAREZ 32528 Chihuahua
23,FRASE ALIMENTOS  SA DE CV,ADUANA DE CIUDAD JUAREZ SN nan CORDOVA AMERICAS JUAREZ 32310 Chihuahua
24,CONSTRUCTORA PERMASA SA DE CV,AV EJERCITO NACIONAL 6415 LOC301 PARTIDO IGLESIAS JUAREZ 32663 Chihuahua
