,nombre,direccion
0,NON STOP DE MEXICO SDE RL DE CV,LIBRAMIENTO ORIENTE 2560 A nan LAZARO CARDENAS MORELIA 58229 Michoacan
1,VOGA CASUAL  SA DE CV,CIPRES 52 nan PATZCUARO PATZCUARO 61600 Michoacan
2,SUITE CAMPESTRE DE MORELIA  SA DE CV,NICARAGUA NO 40 40 nan LAS AMERICAS MORELIA 58270 Michoacan
3,MAQUINARIA NORIEGA  SA DE CV,CARRETERA MORELIA PATZCUARO KM 20 nan NORIEGA MORELIA 58344 Michoacan
4,COMERCIAL COENEO  SA DE CV,AV MORELOS NTE 225 nan COENEO DE LA LIBERTA COENEO 58400 Michoacan
5,MERCANTIL GAONA  SA DE CV,AV MADERO SUR 15 nan HUETAMO DE NU#EZ CENTRO HUETAMO 61940 Michoacan
6,SUPER REGALO DE DIOS SA DE CV,PORTAL MADERO 19 nan MARAVATIO DE OCAMPO CENTRO MARAVATIO 61250 Michoacan
7,ALMUERZOS DONA CHILO SA DE CV,SOBRE CARRETERA SN nan FRANCISCO VILLA ZINAPECUARO 58940 Michoacan
8,JARDIN DE LA ABUNDANCIA  SA DE CV,CART HUILOTEPEC SANTO DOMINGO KM 2 ######## SANTO DOMINGO OCOTITLAN TEPOZTLAN 62524 Morelos
9,BORDADOS INDUSTRIALES DE OAXACA  SA DE CV,LA NORIA 415 nan CENTRO OAXACA DE JUAREZ 68000 Oaxaca
10,ASHLEY FASHION  SA DE CV,BUSTAMANTE 203 nan OAXACA CENTRO OAXACA DE JUAREZ 68000 Oaxaca
11,MRCI INMOBILIARIA  SA DE CV,VIOLETAS 810 1 B REFORMA OAXACA DE JUAREZ 68050 Oaxaca
12,PIPERNET  SA DE CV,INDEPENDENCIA 1624 1 OAXACA CENTRO OAXACA DE JUAREZ 68000 Oaxaca
13,MRCI DE LA VERDE ANTEQUERA  SA DE CV,DIAZ ORDAZ 606 1 OAXACA CENTRO OAXACA DE JUAREZ 68000 Oaxaca
14,RESTAURANTES S F  SA DE CV,PROL ZARAGOZA 202 nan JARDINES DE LA HACIENDA QUERETARO 76180 Queretaro
15,COLMENARES HERNANDEZ SA DE CV,20 DE NOVIEMBRE 821 nan CENTRO OAXACA DE JUAREZ 68000 Oaxaca
16,REPRESENTACIONES ASFALTICAS DEL SURESTE  SA DE CV,REAL 10 nan CONCEPCION BUENA VISTA PUEBLA 72150 Puebla
17,CONTROL Y MANTENIMIENTO INDUSTRIALES  SA DE CV,1A PRIV DEL PANTEON 204 B nan SN FELIPE DEL AGUA OAXACA DE JUAREZ 68020 Oaxaca
18,ABASTECEDORA DE HUEVOS DEL SURESTE SA DE CV,ANDADOR 6 MODULO Q 23 Y 25 nan MERCADO DE ABASTOS OAXACA DE JUAREZ 68090 Oaxaca
19,CAZANDO EL SOL SA DE CV,CHACAHUA 15 ALTOS FRACC SANTA ELENA SANTA CRUZ XOXOCOTLAN 71230 Oaxaca
20,COCINA AZUL DE OAXACA  SA DE CV,ABASOLO 313 nan OAXACA CENTRO OAXACA DE JUAREZ 68000 Oaxaca
21,AUTOOBRA SISTEMAS CONSTRUCTIVOS  SA DE CV,CARRETERA INTERNACIONAL CRISTOBAL COLON 1945 SIN NUME SANTA ROSA OAXACA DE JUAREZ 68010 Oaxaca
22,EL PROVEEDOR DEL MEDICO SA DE CV,COLON 409 nan OAXACA CENTRO OAXACA DE JUAREZ 68000 Oaxaca
23,SUSPENSIONES AUTOMOTRICES SALAZAR  SA DE CV,CARRET TRANSISMICA KM 3 nan AVIACION SALINA CRUZ 70610 Oaxaca
24,GRUPO CORPORATIVO GONZALEZ GUTIERREZ  SA DE CV,MANZANILLO 17 nan CENTRO SALINA CRUZ 70600 Oaxaca
25,BARRO NEGRO DE TUXTEPEC S DE RL DE CV,AVENIDA ARTICULO 123 74 A nan MARIA LUISA SAN JUAN BAUTISTA TUXTEPEC 68310 Oaxaca
26,PERFILES Y TUBULARESZARATE SA DE CV,16 DE SEPTIEMBRE 115 nan JUCHITAN# CENTRO HEROICA CIUDAD DE JUCHITAN DE 70000 Oaxaca
27,MEXICANA DE ABARROTES RUIZ SRL DE CV,LAZARO CARDENAS 46 nan CENTRO SAN PEDRO POCHUTLA 70900 Oaxaca
28,HOTEL SURF OLAS ALTAS SA DE CV,AV DEL MORRO 310 nan MARINERO SAN PEDRO MIXTEPEC #DTO 22 # 71980 Oaxaca
29,EL AGUILA DE NOCHIXTLAN SA DE CV,NICOLAS BRAVO 12 nan COL LAS FLORES ASUNCION NOCHIXTLAN 69600 Oaxaca
30,AUTOELECTRICA CASA DEL CHOFER  SA DE CV,INDEPENDENCIA OTE 913 nan CENTRO TEHUACAN 75700 Puebla
31,LOS SENORIOS  SA DE CV,JUAREZ 610 nan TEZIUTLAN CENTRO TEZIUTLAN 73800 Puebla
32,"FERTIMAX, SA DE CV",PROL DE XICOTENCATL S#N nan TEZIUTLAN CENTRO TEZIUTLAN 73800 Puebla
33,LACTEOS CIEN POR CIENTO  SA DE CV,JOSEFA RAMIRO GAVILAN 195 nan SAN DIEGO TEZIUTLAN 73830 Puebla
34,GENESIS ESTACION DE SERVICIO  SA DE CV,CARRETERA NAUTLA 60 nan CENTRO TEZIUTLAN 73800 Puebla
35,EXPORT APPAREL GROUP SA DE CV,CARR TEZ NAUTLA KM 25 SN nan BO CHIGNAULINGO TEZIUTLAN 73820 Puebla
