,nombre,direccion
0,TEMECSA DISENO Y CONTRUCCION  SA DE CV,HACIENDA PE#UELAS 305 nan HACIENDA DE ECHEGARA NAUCALPAN 53300 Estado de Mexico
1,EXPERTOS EN SISTEMASDIGITALES  SA DE CV,MARCOS N MENDEZ MZ 26 LOTE 412 C nan SAN SEBASTIAN TECOLO IZTAPALAPA 9520 CDMX
2,SERVICIOS EN SISTEMAS E INFRAESTRUCTURA EN TELECOMU  SA DE CV,MARTHA 18 nan SAN LORENZO XICOTENC IZTAPALAPA 9130 CDMX
3,DISTRIBUCION ASESORIA Y SERVICIOS EN TECNOLOGIA  SA DE CV,LONDRES 47 PISO 5 1 JUAREZ CUAUHTEMOC 6600 CDMX
4,PRODUCTOS AUTOMOTRICES PLASCENCIA  SA DE CV,TLAXCALA 60 nan PROVIDENCIA GUSTAVO A MADERO 7550 CDMX
5,CEMENTOS Y FIERROS MEXEDO SA DE CV,OJO DE AGUA MZ 146 LT 32 HACIENDA OJO DE AGUA TECAMAC 55770 Estado de Mexico
6,DESPERDICIOS INDUSTRIALES Y RECICLADOS MARY FER  SA DE CV,ANGEL MARIA GARIBAY 14 ######## SAN MARTIN DE LAS PI SAN MARTIN DE LAS PIRAMIDES 55850 Estado de Mexico
7,COMERCIAL VIA MEDICA SA DE CV,HACIENDA SAN ISIDRO 81 nan PRADOS DEL ROSARIO AZCAPOTZALCO 2410 CDMX
8,COMERCIALIZADORA OMEGA DEL CENTRO SA DE CV,AV JARDIN 576 nan EUZKADI AZCAPOTZALCO 2660 CDMX
9,ZUBALAV  SA DE CV,FRAMBUESA 47 nan NUEVA SANTA MARIA AZCAPOTZALCO 2800 CDMX
10,ARTICULOS CANIDER SA DE CV,AV DE LAS GRANJAS 228 nan UN HOGAR PARA CADA TRABAJADOR AZCAPOTZALCO 2060 CDMX
11,TECCIMSA  SA DE CV,CIRCUITO NACAR 1 C37SM254 NO ESPECIFICA BENITO JUAREZ 77518 Quintana Roo
12,GRUPO ANKA TELECOMUNICACIONES  SA DE CV,NORTE 80 4219 nan LA MALINCHE GUSTAVO A MADERO 7899 CDMX
13,DEPOSITO DE DULCES YCIGARROS LA MERCED  SA DE CV,MIER Y PESADO 304 L 4 DEL VALLE BENITO JUAREZ 3100 CDMX
14,SEGURIDAD PRIVADA RESIDENCIAL COMERCIAL INTRAMUROS  SA DE CV,CLL IROLO 12 3 PL BAJ DEL CARMEN BENITO JUAREZ 3540 CDMX
15,GRUPO EDITORIAL SIQUISIRI SA DE CV,AVENIDA MEXICO 570 nan SAN JERONIMO ACULCO LA MAGDALENA CONTRERAS 10400 CDMX
16,XIBALBA  SA DE CV,SAN JERONIMO 1804 LOCAL 6 LOMAS QUEBRADAS LA MAGDALENA CONTRERAS 10000 CDMX
17,VANGUARD TECHNOLOGY SYSTEMS  SA DE CV,CDA CANAL NACIONAL 09:00 a. m. nan RANCHO TEJOMULCO XOCHIMILCO 16429 CDMX
18,TODO RELACIONADO CONANCLAJE CONCRETO LA NZADO Y BAR  SA DE CV,CUMBRES DE MALTRATA 168 401 NI#OS HEROES BENITO JUAREZ 3440 CDMX
19,"GRAFIPER, SA DE CV",ROMERO 80 nan AMERICAS UNIDAS BENITO JUAREZ 3610 CDMX
20,ESTAMPADOS CAMARASA  SA DE CV,CDA SAN JUAN 20 nan SAN JUAN IXHUATEPEC TLALNEPANTLA DE BAZ 54180 Estado de Mexico
21,COMERCIALIZADORA TRIMAQ  SA DE CV,VIA JOSE LOPEZ PORTILLO 134 INT A SAN MATEO CUAUTEPEC TULTITLAN 54948 Estado de Mexico
22,RADAR ELECTRICO  SA DE CV,2DA CDA TETEPETONGO 10 nan LOMAS DE ZARAGOZA IZTAPALAPA 9620 CDMX
23,SOLDADURA Y MONTAJESINDUSTRIALES  SA DE CV,C LINO MERINO 281 nan JUAN ESCUTIA IZTAPALAPA 9100 CDMX
24,RETRAMET  SA DE CV,ISLA MARGARITA MZA 905 LOT 1 # JARDINES DE MORELOS ECATEPEC 55070 Estado de Mexico
25,GRUPO INDUSTRIAL DE SERVICIOS EMPRESARIALES HALCON  SA DE CV,AV PSO DE LA ISLA MZ 18 LT 28 VILLA ESMERALDA TULTITLAN 54910 Estado de Mexico
26,CORPORATIVO ALAMAN  SA DE CV,GUSTAVO BAZ 4863 A 4 SAN PEDRO BARRIENTOS TLALNEPANTLA DE BAZ 54010 Estado de Mexico
27,NIVEL PUBLICITARIO INTEGRAL  SA DE CV,GUSTAVO BAZAN 11 nan AMPL SAN PEDRO XALPA AZCAPOTZALCO 2719 CDMX
28,"MAREPA, SA DE CV",DEL MIRADOR SN nan EL MIRADOR NICOLAS ROMERO 54440 Estado de Mexico
29,QUIMIALCLA  SA DE CV,CTO CIRCUNVALACION PONIENTE 149 nan CIUDAD SATELITE NAUCALPAN DE JUAREZ 53100 Estado de Mexico
30,SICOVEL  SA DE CV,TORRE DINAMOS MZ 176 LOTE 12 SN GRANJAS LOMAS DE GUA CUAUTITLAN IZCALLI 54767 Estado de Mexico
31,CARPINTERIA Y DISENOS  SA DE CV,AV TOLUCA 320 nan OLIVAR DE LOS PADRES ALVARO OBREGON 1780 CDMX
32,CHARE BRAKING PARTS  SA DE CV,CALZADA DESIERTO DE LOS LEONES 8335 BIS B 1 SANTA ROSA XOCHIAC ALVARO OBREGON 1830 CDMX
33,ESTRATEGIA MOZA  SA DE CV,CALLE 17 238 nan GUADALUPE PROLETARIA GUSTAVO A MADERO 7670 CDMX
34,CENTRO CRISTALUMINIERO Y MATERIALISTA SA DE CV,GERMANIO 49 nan PRJ SAN JUAN CERRO IZTAPALAPA 9858 CDMX
35,BORDADOS Y UNIFORMESTONI  SA DE CV,ISABEL LA CATOLICA 484 L E ALGARIN CUAUHTEMOC 6880 CDMX
36,BECKER AND MARCUS SA DE CV,JUAN ERNESTO HERNANDEZ Y DAVALOS 122 nan ALGARIN CUAUHTEMOC 6880 CDMX
37,TRANSPORTES GRUPO ALFERE  SA DE CV,AV BUENAVISTA SIN NUME nan BUENAVISTA CUAUTITLAN IZCALLI 54720 Estado de Mexico
38,"HISPANA AUTOMOTRIZ, SA DE CV",RUIZ CORTINES 4540 nan LUIS ECHEVERRIA ALVA BOCA DEL RIO 94298 Veracruz
