,nombre,direccion
41,ROBERT SISTEMAS COMERCIALES  SA DE CV,CTO MISION DE CUILAPAN MZ 35 LT 15 A nan COFRADIA II CUAUTITLAN IZCALLI 54715 Estado de Mexico
42,"REAL EXPRESS, SA DE CV",BLVD TULTITLAN PTE 92 nan LOS REYES TULTITLAN 54900 Estado de Mexico
43,SISTEMAS DE INYECCION Y PROCESOS  SA DE CV,SABINO 25 nan NATIVITAS TULTITLAN 54900 Estado de Mexico
44,RILUCA INMOBILIARIA Y COMERCIALIZADORA PARA LA INDU  SA DE CV,MAURICIO SN nan SANTIAGO TEPALCAPA CUAUTITLAN IZCALLI 54743 Estado de Mexico
45,SERVICIOS EN CEMENTOY CONCRETO  SA DE CV,AV INGENIEROS MILITARES 105 PISO 4 LOMAS DE SOTELO MIGUEL HIDALGO 11200 CDMX
46,INGENIERIA DE PROYECTOS TERMICOS  SA DE CV,CALLE SAN SEBASTIAN DE APARICIO 6 nan VASCO DE QUIROGA GUSTAVO A MADERO 7440 CDMX
47,AUTOPARTES ELECTRICAS HERNANDEZ SA DE CV,CENTENARIO 2171 nan VILLAHERMOSA GUSTAVO A MADERO 7410 CDMX
48,ELECTROMECANICA AUTOMOTRIZ GARDUNO SA DE CV,AV CENTENARIO 1975 nan ATZACOALCO GUSTAVO A MADERO 7040 CDMX
49,AUTO EXPRESS MORALES SA DE CV,CLAUDIO CORTES 7 MZ99 LT15 GABRIEL HERNANDEZ AM GUSTAVO A MADERO 7080 CDMX
50,LISEJI  SA DE CV,ANDADOR 23 106 nan JARDINES DE SANTA CL ECATEPEC DE MORELOS 55450 Estado de Mexico
51,DINDO INTEGRACIONES  SA DE CV,JACARANDAS 106 MZA 84 LT 1 VILLA DE LAS FLORES COACALCO DE BERRIOZABAL 55710 Estado de Mexico
52,CENTRO DE BALANCEO DINAMICO Y CONTROL DEVIBRACIONES SA DE CV,FPE ANGELES 119 nan PALMATITLA GUSTAVO A MADERO 7170 CDMX
53,INDUSTRIA P&M  SA DE CV,AV PALMAS 59 nan DEL BOSQUE GUSTAVO A MADERO 7207 CDMX
54,J B GRUPO CONSTRUCTOR  SA DE CV,ISIDRO FABELA 68 nan JACARANDAS IZTAPALAPA 9280 CDMX
55,"TRAMITES GEMINIS, SA DE CV",CALLE 11 222 nan LAS AGUILAS NEZAHUALCOYOTL 57900 Estado de Mexico
56,CERAMICAS Y SERVICIOS  SA DE CV,CALLE DURANGO 315 nan ROMA CUAUHTEMOC 6700 CDMX
57,T M SECURITY SYSTEM  SA DE CV,AV CONSTITUCION DE LA REPUBLICA 131 P A PROVIDENCIA GUSTAVO A MADERO 7550 CDMX
58,PLIBRISA CONSTRUCCIONES  SA DE CV,PASEOS DEL BOSQUE MZ 36 LT 25 HACIENDA OJO DE AGUA TECAMAC 55770 Estado de Mexico
59,CONTROL DE CALIDAD EN INGENIERIA CIVIL  SA DE CV,CAPULINES MZ 83 LT 5 OJO DE AGUA TECAMAC 55770 Estado de Mexico
60,LLANTAS Y SERVICIOS DE TECAMAC  SA DE CV,CARR A PACHUCA KM 32 5 P A OJO DE AGUA TECAMAC 55770 Estado de Mexico
61,GBC SCIENTIFIC EQUIPMENT DE MEXICO SA DE CV,C DUNAS 46 nan ACDTO DE GUADALUPE GUSTAVO A MADERO 7279 CDMX
