,nombre,direccion
0,CENTRO PAPELERO SUN-RISE  SA DE CV,REGINA 135 ACCE A CENTRO AREA 9 CUAUHTEMOC 6090 CDMX
1,ECOTRANSPORTES ZERMENO GARCIA  SA DE CV,VALPARAISO 65 1 TEPEYAC INSURGENTES GUSTAVO A MADERO 7020 CDMX
2,"TECNOLAMINAS, SA DE CV",CALLE DEL RIO 2 nan INDUSTRIAL ALCE BLAN NAUCALPAN 53370 Estado de Mexico
3,MASVIDA SA CV,HAMBURGO 141 03A JUAREZ CUAUHTEMOC 6600 CDMX
4,INTEGRADORA COMERCIAL VS  SA DE CV,PEDRO GUZMAN 17 TORRE 8 DEP 604 LOMAS DE SAN LORENZO ATIZAPAN DE ZARAGOZA 52975 Estado de Mexico
5,TPS CONTAINER  SA DE CV,PONIENTE 140 839 nan INDUSTRIAL VALLEJO AZCAPOTZALCO 2300 CDMX
6,COMERCIALIZADORA CRUZ TREJO ROEL  SA DE CV,HOMERO 404 101 POLANCO MIGUEL HIDALGO 11560 CDMX
7,"US STICK DE MEXICO, SA DE CV",AQUILES SERDAN 143 nan SANTA MARIA AZTAHUAC IZTAPALAPA 9570 CDMX
8,EMPAQUES Y ACABADOS LITOGRAFICOS  SA DE CV,CENTENO 715 nan GRANJAS MEXICO IZTACALCO 8400 CDMX
9,DIMTEL  SA DE CV,COLORINES 115 nan VALLE DEL SUR IZTAPALAPA 9819 CDMX
10,"ARESA REFACCIONES, SA DE CV",AV AIL 465 5 GRANJAS MEXICO IZTACALCO 8400 CDMX
11,SINERGIAS ECOLOGICAS SA DE CV,INSURGENTES SUR 1150 OF3 DEL VALLE BENITO JUAREZ 3200 CDMX
12,PERFIHERRAJES IMMSA  SA DE CV,CAFETAL 241 nan GRANJAS MEXICO IZTACALCO 8400 CDMX
13,MULTISERVICIOS EN MERCADOTECNIA Y COMERCIALIZACION SA DE CV,TLACOQUEMECATL 41 PSO 1 B TLACOQUEMECATL BENITO JUAREZ 3200 CDMX
14,LAMINA PERFIL Y RECORTE  SA DE CV,SAN ESTEBAN 48 B C SANTO TOMAS AZCAPOTZALCO 2020 CDMX
15,HEGUTEX  SA DE CV,LAS CRUCES LOC 7 nan CENTRO DE LA CIUDAD CUAUHTEMOC 6000 CDMX
16,EDITORIAL IZTACCIHUATL  SA DE CV,MIGUEL E SCHULTZ 21 nan SAN RAFAEL CUAUHTEMOC 6470 CDMX
17,SOLUCIONES INTEGRALES VISION ARQUITECTONICA SUSTENT  SA DE CV,SILVESTRE REVUELTAS 4 nan GUADALUPE INN ALVARO OBREGON 1020 CDMX
18,"LITOLOVER, SA DE CV",AV FERROCARRIL 265 A MOCTEZUMA 2DA SECC VENUSTIANO CARRANZA 15500 CDMX
19,ANYMATE SHOW  SA DE CV,MIGUEL NOREA 33 BIS nan SAN JOSE INSURGENTES BENITO JUAREZ 3900 CDMX
20,GASTRONOMICA LIVA SA DE CV,CALZADA DE LOS LEONES 145 LOC 9 LAS AGUILAS ALVARO OBREGON 1710 CDMX
21,SAC DESIGNS  SA DE CV,PRESA SALINILLAS 370 504 IRRIGACION MIGUEL HIDALGO 11500 CDMX
22,"AMERICAN HOTEL, SA DE CV",MAR AZOF 62 nan POPOTLA MIGUEL HIDALGO 11400 CDMX
23,ENCUADERNADORA MEXICANA  SA DE CV,GOLFO DE CALIFORNIA 32 nan TACUBA MIGUEL HIDALGO 11410 CDMX
24,ECO SIGNS  SA DE CV,BOLIVAR 817 nan ALAMOS BENITO JUAREZ 3400 CDMX
25,SURTIDORA DE PRODUCTOS TORRES  SA DE CV,ALFONSO XIII 254 9 ALAMOS BENITO JUAREZ 3400 CDMX
26,SANTI - AGRO MARAVATIO SPR DE RL DE CV,MENPHIS 21 nan CLAVERIA AZCAPOTZALCO 2080 CDMX
27,"MEGA ENVASES, SA DE CV",MIGUEL HIDALGO 67 PB nan TIZAPAN ALVARO OBREGON 1090 CDMX
28,MIT MEXICO INTELLIGENT TECHNOLOGY  SA DE CV,AVENIDA TLAHUAC 1132 EDIFICIO C 204 GRANJAS ESTRELLA IZTAPALAPA 9880 CDMX
29,CONSTRUCTORA DEL PARQUE 22  SA DE CV,AV INSURGENTES SUR 470 403 ROMA SUR CUAUHTEMOC 6760 CDMX
30,NIFERSA INFORMATION TECHNOLOGY  SA DE CV,EJERCITO NACIONAL 205 302 VERONICA ANZURES MIGUEL HIDALGO 11300 CDMX
31,MCGUFFIN CASA PRODUCTORA  SA DE CV,ROUSSEAU 14 803 ANZURES MIGUEL HIDALGO 11590 CDMX
32,PROMOTORA NACIONAL DE LA VIVIENDA SA DE CV,PTO ESCONDIDO MZ 42 LT 5 AMPLIACION PILOTO ALVARO OBREGON 1290 CDMX
33,RICHCO GLOBAL GROUP  SA DE CV,ARCADAS 55 E 001 COLINA DEL SUR ALVARO OBREGON 1430 CDMX
34,TRG MEXICO S DE RL DE CV,AV CANAL DE MIRAMONTES 1493 PB nan COUNTRY CLUB COYOACAN 4220 CDMX
35,ZAPATILLAS BAMBA  SA DE CV,SAN ISIDRO TECPATL 202 A INDUSTRIAL SAN ANTON AZCAPOTZALCO 2760 CDMX
36,EXE COMERCIALIZADORA SA DE CV,INT METRO TACUBAYA SN CM10 TACUBAYA MIGUEL HIDALGO 11870 CDMX
37,GROW Y ASOCIADOS  SA DE CV,AV PACIFICO 350 EDIF F DEP104 PEDREGAL DE COYOACAN COYOACAN 4330 CDMX
38,CONSULTORIA EMPRESARIAL ALVAREZ RUEDA SA DE CV,NICOLAS SAN JUAN 1152  DEL VALLE BENITO JUAREZ 3100 CDMX
39,GRAFIC KING  SA DE CV,LAGUNA DE TERMINOS 534 nan ANAHUAC I SECCION MIGUEL HIDALGO 11320 CDMX
40,ALLNETI  SA DE CV,PAFNUNCIO PADILLA 13 INT203 PISO2 CIUDAD SATELITE NAUCALPAN DE JUAREZ 53100 Estado de Mexico
41,CASA GALVAN GUADALAJARA  SA DE CV,AVENA 123 nan GRANJAS ESMERALDA IZTAPALAPA 9810 CDMX
42,DURI INSTRUMENTOS Y CONTROLES SA DE CV,AV CENTRAL 314 nan EUZKADI AZCAPOTZALCO 2660 CDMX
43,J.E. ASOCIADOS EN COMERCIO PROFESIONAL  SA DE CV,NOGAL 57 307 STA MARIA LA RIBERA CUAUHTEMOC 6400 CDMX
44,DISTRIBUIDORA DE REPUESTOS INDUSTRIALES  SA DE CV,AV CALZADA TLATILCO 229 3 TLATILCO AZCAPOTZALCO 2860 CDMX
45,VIAJES DUA TOURS  SA DE CV,PESTALOZZI 909 nan DEL VALLE BENITO JUAREZ 3100 CDMX
46,VO GROUP  SA DE CV,CLL HERIBERTO FRIAS 1439 403 404 DEL VALLE CENTRO BENITO JUAREZ 3100 CDMX
47,PAPELES Y CUADERNOS MONKY  SA DE CV,CANARIAS MZ 4 LT 11 GRANJAS CABRERA TLAHUAC 13230 CDMX
48,PROVEEDORA QUIMICO FARMACEUTICO  SA DE CV,JOSE MA MORELOS 164 nan NIO JESUS TLALPAN 14080 CDMX
49,TODO UN UNIVERSO EN GLOBOS  SA DE CV,MESONES 149 LFG D102 CENTRO AREA 9 CUAUHTEMOC 6090 CDMX
50,INMOBILIARIA Y SERVICIOS TURISTICOS OMEGA  SA DE CV,2A CALLE NTE PTE 6 nan COMITAN DE DOMINGUEZ CENTRO COMITAN DE DOMINGUEZ 30000 Chiapas
51,ORIELA  SA DE CV,EDEN 30 nan LAS AGUILAS ALVARO OBREGON 1710 CDMX
52,OFFSET PUBLICIDAD TAYE  SA DE CV,SUR 69 A 3036  AMPLIACION ASTURIAS CUAUHTEMOC 6890 CDMX
53,CRUZE SERVICIOS CORPORATIVOS  SA DE CV,AV DOCTOR JOSE MARIA VERTIZ 1185 nan LETRAN VALLE BENITO JUAREZ 3650 CDMX
54,CRUZAQUIM  SA DE CV,OCOTE MZ 17 LT 15 ROSA DE CASTILLA IXTAPALUCA 56580 Estado de Mexico
55,"CORPORATIVO LLB, SA DE CV",RICARDO PALMERIN 100 nan GUADALUPE INN ALVARO OBREGON 1020 CDMX
56,COMPONENTES ELECTRONICOS IXMIQUILPAN  SA DE CV,DOCTOR JESUS DEL ROSAL 12 nan SAN ANTONIO IXMIQUILPAN 42300 Hidalgo
57,DESARROLLOS DE ENERGIA DE MEXICO  SA DE CV,AV SAN JERONIMO 550 PISO 2 JARDINES DEL PEDREGAL ALVARO OBREGON 1900 CDMX
58,"LM 2000, SA DE CV",EUGENIA 1205 3 COL DEL VALLE BENITO JUAREZ 3100 CDMX
59,TEPELCO  SA DE CV,PLAZUELA 2 DE ABRIL 1 nan MIRAFLORES CHALCO 56645 Estado de Mexico
60,TECNOALIMENTOS SA DE CV,CARRETERA A LA GRIEGA KM 3 75 nan EL COYME EL MARQUES 76245 Queretaro
61,INNOVACERO  SA DE CV,PRIV FLORES MAGON 1304 nan ESMERALDA GUADALUPE 67140 Nuevo Leon
62,SUPER MAYOREO DE CARNES DE PARRAL  SA DE CV,ABRAHAM GONZALEZ 10 nan LAS QUINTAS HIDALGO DEL PARRAL 33860 Chihuahua
63,DB PUBLICIDAD SA DE CV,AV NUEVO LEON 202 302 HIPODROMO CUAUHTEMOC 6100 CDMX
64,TERCERA GENERACION FAB VAPORERAS 2000 SA DE CV,ARTURO SOTO RANGEL LT 3 MZ 209 JORGE NEGRETE GUSTAVO A MADERO 7280 CDMX
65,SEGURIDAD INDUSTRIALDEL BAJIO  SA DE CV,BLV FRANCISCO VILLA 1098 FRACC GUADALUPE DURANGO 34220 Durango
66,ADMINISTRACION MEDICA ESPECIALIZADA  SA DE CV,ALFONSO HERRERA 124 E SAN RAFAEL CUAUHTEMOC 6470 CDMX
67,AGROSANHER S DE RL DE CV,DE LAS ROSAS 7 nan RES JUAN DIEGO ENSENADA 22895 Baja California
68,CONSTRUCTORA RASCON  SA DE CV,LUIS ESTAVILLO MUOZ 701 B BARRIO DEL NORTE CHIHUAHUA 31300 Chihuahua
69,"LA SOCIEDAD, COMUNICACION Y PUBLICIDAD  SA DE CV",AVE REAL SAN AGUSTIN 304 B4 RESIDENCIAL SAN AGUS SAN PEDRO GARZA GARCIA 66260 Nuevo Leon
70,CACHUCHAS Y PLAYERASBETO SA DE CV,ISABEL LA CATOLICA 517 nan ALGARIN CUAUHTEMOC 6880 CDMX
71,CP RUSTICOS MEXICANOS S DE RL DE CV,DIAGONAL 5 PONIENTE 131 nan CHIPILO DE FRANCISCO SAN GREGORIO ATZOMPA 74325 Puebla
72,ZAPATERIAS 5 HERMANOS DE TEXCOCO  SA DE CV,PZA DE LA CONSTITUCION 8 nan TEXCOCO DE MORA CENT TEXCOCO 56100 Estado de Mexico
73,TELECOMUNICACIONES COMMSERVICE  SA DE CV,HERIBERTO FRIAS 1439 403 DEL VALLE BENITO JUAREZ 3100 CDMX
74,"OPTEC SISTEMAS, SA DE CV",CAMPECHE 290 3 CONDESA CUAUHTEMOC 6140 CDMX
75,AUTO TRANSPORTES SEKOM  SA DE CV,ALFONSO REYES 13 nan CUAUTITLAN CENTRO CUAUTITLAN 54800 Estado de Mexico
76,DISEOS ESPAOLES SCDE RL DE CV,ESCAPE 24 A ALCE BLANCO NAUCALPAN 53370 Estado de Mexico
