,nombre,direccion
77,COMBUSTION AUTOMATIZACION INDUSTRIAL  SA DE CV,ALTOS ABASOLO 103 nan SAN BARTOLO NAUCALPAN NAUCALPA NAUCALPAN 53000 Estado de Mexico
78,LOGISTICA Y NEXOS INFORMATICOS  SA DE CV,E PALLARES Y PORTILLO 103 nan PARQUE SAN ANDRES COYOACAN 4040 CDMX
79,PRODUCTOS BASICOS ELREY  SA DE CV,SANTA JULIA 134 nan VICENTE VILLADA NEZAHUALCOYOTL 57710 Estado de Mexico
80,DC SALONES  SA DE CV,AVE SAN JERONIMO 630 LOC 19 SAN JERONIMO LIDICE ALVARO OBREGON 1090 CDMX
81,RANDOM INTERACTIVE  SA DE CV,ABASOLO 128 nan DEL CARMEN COYOACAN 4100 CDMX
82,AUREACODE  SA DE CV,PROLONGACION 5 DE MAYO 801 A LOCAL 77 VALLE VERDE TOLUCA 50140 Estado de Mexico
83,PROMOVENTAS INMOBILIARIAS  SA DE CV,FUENTE DE HERMES 6 SN LOMAS DE TECAMACHALCO NAUCALPAN 53950 Estado de Mexico
84,MI MERCADEO INTERNACIONAL  SA DE CV,BLV ADOLFO LOPEZ MATEOS 9 BODEGA 9 EL POTRERO ATIZAPAN DE ZARAGOZA 52975 Estado de Mexico
85,SOLUCIONES EN INGENIERIA NOVIDEA  SA DE CV,ZACATECAS 36 108 ROMA NORTE CUAUHTEMOC 6700 CDMX
86,DIRE TEL  SA DE CV,SUR 73 4341 nan VIADUCTO PIEDAD IZTACALCO 8200 CDMX
87,MUEBLES Y COLCHONES FENIX  SA DE CV,PRIV RANCHO DE LA CRUZ 86 13 JAMAICA VENUSTIANO CARRANZA 15800 CDMX
88,MDS COMERCIALIZADOR DE IXTAPALUCA  SA DE CV,PUERTO DE ALVARADO MZ 34 LT 16 LA BOMBA CHALCO 56600 Estado de Mexico
89,PINTURAS SOMMER  SA DE CV,AVENIDA BENITO JUAREZ SN  SANTIAGO TEYAHUALCO TULTEPEC 54980 Estado de Mexico
90,"CAMPANAS SONORAS, SA DE CV",CARRET MEX CUERNAVACA 5265 nan SAN PEDRO MARTIR TLALPAN 14650 CDMX
91,CALIDAD E INOVACION EN EMPAQUE Y EMBALAJE  SA DE CV,CERRADA DE TEJOCOTES 4 A SAN MARTIN OBISPO TEPETLIXPA CUAUTITLAN IZCALLI 54763 Estado de Mexico
92,INDUSTRIA Y SERVICIOS MADEREROS SG  SA DE CV,PELICANOS 65 nan LAGO DE GUADALUPE CUAUTITLAN IZCALLI 54760 Estado de Mexico
93,FABRICA DE CERILLOS Y FOSFOROS LA INDEPENDIENTE  SA DE CV,CALZ A LA VENTA 30 nan COMPLEJO INDUSTRIAL CUAUTITLAN IZCALLI 54730 Estado de Mexico
94,QUIMADI  SA DE CV,PARQ IZTACCIHUATL 18 MZ14 LT7 JARDINES DEL ALBA CUAUTITLAN IZCALLI 54750 Estado de Mexico
95,CARROCERIAS MONTOYA DE AGS SA DE CV,AQUILES SERDAN 1030 nan BUENOS AIRES AGUASCALIENTES 20020 Aguascalientes
96,ALTA MECANICA INDUSTRIAL  SA DE CV,AV INDUSTRIA 55 nan SAN PABLO XALPA TLALNEPANTLA DE BAZ 54170 Estado de Mexico
97,MICROSISTEMAS COMPUTACIONALES DE COLIMA  SA DE CV,ZARAGOZA 235 A COLIMA CENTRO COLIMA 28000 Colima
98,SERVICIO E IMPORTACION DE RAM  SA DE CV,RIO CHURUBUSCO 1120 51 INFONAVIT IZTACALCO IZTACALCO 8900 CDMX
99,INTERBIKE  SA DE CV,TOPACIO 13 ACCES A CENTRO DE LA CIUDAD CUAUHTEMOC 6090 CDMX
100,CLOUD MONTERREY  SA DE CV,AV DE LAS TORRES 27 nan CAMPESTRE CHURUBUSCO COYOACAN 4200 CDMX
101,EXCELENCIA GASTRONOMICA ALVAREZ  SA DE CV,COAHUILA 108 4 ROMA NORTE CUAUHTEMOC 6700 CDMX
102,SUCONSULTOR  SA DE CV,XOCHICALCO 464 nan VERTIZ NARVARTE BENITO JUAREZ 3600 CDMX
103,GOVERNMENT SOLUTIONSMEXICO  SA DE CV,PONIENTE 140 839 PB 5 INDUSTRIAL VALLEJO AZCAPOTZALCO 2300 CDMX
104,BMTEXTIL  SA DE CV,CALLE CAMPESINOS 406 nan SANTA ISABEL INDUSTR IZTAPALAPA 9820 CDMX
105,INGYDIS  SA DE CV,ALBINO GARCIA 355 nan VIADUCTO PIEDAD IZTACALCO 8200 CDMX
106,FRENOS Y REFACCIONESVALLEJO  SA DE CV,CALLE 9 1442 4 AGUILERA AZCAPOTZALCO 2900 CDMX
107,TECID  SA DE CV,AV 3 A 52 nan SANTA ROSA GUSTAVO A MADERO 7620 CDMX
108,NEGOCIOS EN COMPUTO Y SISTEMAS DE MEXICO SA DE CV,MELCHOPR OCAMPO 104 6 SAN RAFAEL CUAUHTEMOC 6470 CDMX
109,"AD INFINITUM, SA DE CV",RICARDO MARGAIN 575 EDIF C SANTA ENGRACIA SAN PEDRO GARZA GARCIA 66267 Nuevo Leon
110,CRHOMO SERVICIOS  SA DE CV,PEDRO NORIEGA 2024 A TERMINAL MONTERREY 64580 Nuevo Leon
111,TEA INNOVACION EMPRESARIAL  SA DE CV,IGNACIO ZARAGOZA 507 B CENTRO SAN PEDRO GARZA GARCIA 66230 Nuevo Leon
112,"STEEL-GALV, SA DE CV",PRIVADA INDUSTRIAS 129 nan PARQUE INDUSTRIAL ES GENERAL ESCOBEDO 66062 Nuevo Leon
113,QUICK PLASTICS SA DE CV,CARRETERA A COLOMBIA KM32 5 SN  SALINAS VICTORIA SALINAS VICTORIA 65500 Nuevo Leon
114,PRO TALENTO MEXICO  SA DE CV,MIGUEL NIETO 550 nan MONTERREY CENTRO MONTERREY 64000 Nuevo Leon
115,COMERCIALIZADORA JEFRAMEX SA DE CV,TOLEDO 137 nan AMERICA GUADALUPE 67130 Nuevo Leon
116,CARTON AND SERVICE  SA DE CV,ENRIQUE GRANADOS 208 nan COLINAS DE SAN JERON MONTERREY 64630 Nuevo Leon
117,SERVICIO CRUZ DE MEXICO 2003  SA DE CV,SAN SIMON 142 nan SAN SIMON TICUMAC BENITO JUAREZ 3660 CDMX
118,DAHV INTERNACIONAL  SA DE CV,CUAUHTEMOC 1486 601 A nan SANTA CRUZ ATOYAC BENITO JUAREZ 3310 CDMX
119,BONGER QUIMICA SA DE CV,ANTOINE LAVOISIER 10 nan PARQUE INDUSTRIAL CUAMATLA CUAUTITLAN IZCALLI 54730 Estado de Mexico
120,GRUPO PLW  SA DE CV,1RA CERRADA ARBOLITOS 3 nan TEPOTZOTLAN CENTRO TEPOTZOTLAN 54600 Estado de Mexico
121,CEMENTO Y MATERIALESPUENTE GRANDE  SA DE CV,ANTIG CARRET TEPOTZOTLAN 38 SN nan PUENTE GRANDE CUAUTITLAN 54830 Estado de Mexico
122,REDBOX REFACCIONES  SA DE CV,CALLE 43 97 nan GRAL IGNACIO ZARAGOZ VENUSTIANO CARRANZA 15000 CDMX
123,XOCONGO  SA DE CV,XOCONGO 65 SOTANO L TRANSITO CUAUHTEMOC 6820 CDMX
124,ELECTRICAL PRODUCTS SUPPLY  SA DE CV,MANUEL J OTHON 59 nan OBRERA CUAUHTEMOC 6800 CDMX
125,SILVERPLASTIC TUBERIAS Y CONEXIONES  SA DE CV,5 DE FEBRERO 13 nan STA CLARA COATITLA ECATEPEC DE MORELOS 55540 Estado de Mexico
126,LATINOAMERICA OUTLETS  SA DE CV,BLVD INDEPENDENCIA OTE 3980 nan EL FRESNO TORREON 27018 Coahuila
127,MERKOMA  SA DE CV,CORREGIDORA OTE 857 1 TORREON CENTRO TORREON 27000 Coahuila
128,MUEBLERIA NAVARRO SA DE CV,MADERO 305 nan CIUDAD ACUNA CENTRO ACUA 26200 Coahuila
129,PROYECTOS DE EQUIPAMIENTO URBANO  SA DE CV,AVE DE LOS PINOS 18 nan SAN CLEMENTE SUR ALVARO OBREGON 1740 CDMX
130,INTEGRA DIVISION POP SA DE CV,PROL PASEO DE LA REFORMA 115 604 PASEO DE LAS LOMAS ALVARO OBREGON 1330 CDMX
131,"ABITS, SA DE CV",PRESIDENTE MASARYK 61 P 9 POLANCO V SECCION MIGUEL HIDALGO 11560 CDMX
132,MENDENG  SA DE CV,AVE ALVARO OBREGON 12 403 ROMA NORTE CUAUHTEMOC 6700 CDMX
133,AG METAL  SA DE CV,DIEGO DIAZ DE BERLANGA 100 nan CARMEN ROMANO DE LOP SAN NICOLAS DE LOS GARZA 66444 Nuevo Leon
134,"GRUPO LEOS HERMANOS, SA DE CV",AIDA 216 nan PENITAS LEON 37180 Guanajuato
135,CALZADO MINI BURBUJAS SA DE CV,BLVD LA LUZ 1728 nan SAN PEDRO DE LOS HER LEON 37280 Guanajuato
136,PROTEINAS INTEGRALES SA DE CV,CAM REAL DE CARRETAS 155 1 MILENIO III QUERETARO 76060 Queretaro
137,DISTRIBUIDORA DE TUBOS Y CONEXIONES DEL CENTRO  SA DE CV,AV 5 DE FEBRERO 1025 7 LA SIERRITA QUERETARO 76137 Queretaro
138,PROVEEDORA FLEXOGRAFICA DEL BAJIO  SA DE CV,AVENIDA MEXICO JAPON 108 B CIUDAD INDUSTRIAL CELAYA 38010 Guanajuato
139,FABRICA DE HIGIENICOS Y TUBOS DE CARTON  SA DE CV,PONIENTE 2 SN nan CIUDAD INDUSTRIAL CELAYA 38010 Guanajuato
140,LA FAVO  SA DE CV,GUILLERMO PRIETO 118 nan ALAMEDA CELAYA 38050 Guanajuato
141,REFRIGERADOS VAZQUEZ SA DE CV,AV TLAXCALTECAS 20 nan PUEBLO DE LA LAGUNA LAGOS DE MORENO 47410 Jalisco
142,EL FRESNO CHILES SECOS  SA DE CV,CARR SALIDA A DURANGO KM 2 5 SN nan FRESNILLO CENTRO FRESNILLO 99000 Zacatecas
143,HOTEL EXCELENCIA DE AMERICA SA DE CV,AMERICA 721 nan CENTRO MOROLEON 38800 Guanajuato
144,CANEIRO  SA DE CV,BEGONIA 35 C GUADALUPE CENTRO GUADALUPE 98600 Zacatecas
145,ACEROS Y ELECTRODOS APATZINGAN  SA DE CV,ALDERETE Y SORIA SUR 347 nan CENTRO APATZINGAN 60600 Michoacan
146,AISLAMIENTO Y REFRIGERACION DE MEXICO SA DE CV,AV PERIODISMO 1843 nan RECTOR HIDALGO MORELIA 58190 Michoacan
147,DISTRIBUIDORA FARMACEUTICA MARVA  SA DE CV,AV PERIFERICO PASEO DE LA REPUBLICA 2015 nan CAMELINAS MORELIA 58290 Michoacan
148,CALZADO GALA  SA DE CV,CARR LEONSAN FRANCISCO KM 15 5 nan LOMAS DE BUENAVISTA SAN FRANCISCO DEL RINCON 36468 Guanajuato
149,TOSTADAS FANNY S DE RL DE CV,PESCADORES 120 nan SANTA MARIA YURIRIA 38940 Guanajuato
150,GRANDEL PARTES AUTOMOTRICES SA DE CV,ZARAGOZA 353 nan CENTRO TACAMBARO 61650 Michoacan
151,METALACERO INGENIERIA Y DISEO  SA DE CV,FRANCISCO ESCUDERO MZ 149 LT 15 15 nan SANTA MARTHA ACATITLA IZTAPALAPA 9510 CDMX
152,EBEN-EZER FOLLAJES YFLORES  SA DE CV,JOSE MARIA MORELOS SN nan BARRIO DE SAN PEDRO IXTAPAN DE LA SAL 51900 Estado de Mexico
153,XIPE SERVICIOS TECNICOS Y ADMINISTRATIVOS  SA DE CV,ZAMORA 33 nan CONDESA CUAUHTEMOC 6140 CDMX
154,CONSTRUCCIONES Y PROYECTOS EMA  SA DE CV,PRIMERO DE MAYO 41 nan LA SANTISIMA SAN PABLO DEL MONTE 90950 Tlaxcala
155,LA NUEVA CENTRAL DE CIUDAD JUAREZ  SA DE CV,16 DE SEPTIEMBRE PTE 222 nan CIUDAD JUAREZ CENTRO JUAREZ 32000 Chihuahua
156,PROMOTORA E INMOBILIARIA SIMY VALLEY  SA DE CV,AV SANTA FE 495 4 CRUZ MANCA CUAJIMALPA DE MORELOS 5349 CDMX
157,TRANSPORTES SERCAM  SA DE CV,CTO DUNAS 89 nan JDN UNIVERC VILLAS DEL SOL TORREON 27087 Coahuila
158,COMERCIALIZADORA DE ACEROS LA PIEDAD  SA DE CV,CARR LA PIEDAD GUADALAJARA KM 5 7 SN nan LA PIEDAD DE CABADAS LA PIEDAD 59300 Michoacan
159,EMPORIO MILANI SA DE CV,BOULEVARD LUIS ECHEVERRIA ALVAREZ 1474 E 5 LOURDES SALTILLO 25070 Coahuila
160,VARU FABRICA DE MUEBLES  SA DE CV,JOAQUIN AMARO 35 nan FRANCISCO VILLA IZTAPALAPA 9720 CDMX
161,COMERCIALIZADORA AL TRADE  SA DE CV,AV DEL POZO 78 6A RECURSOS HIDRAULICOS TULTITLAN 54913 Estado de Mexico
162,RENOVA VITALIZADORA DE LLANTAS  SA DE CV,CIRCUITO PERIFERICO 6418  LOMAS DEL 4 SAN PEDRO TLAQUEPAQUE 45599 Jalisco
163,SUPERMERCADOS MR  SA DE CV,HUERTAS 496 nan JARDINES DE GUADALUP GUADALAJARA 44740 Jalisco
164,INDUSTRIAS BIOTECNOLOGICAS DE JALISCO SA DE CV,AV AMERICAS 1319 11 PROVIDENCIA 1RA SECC GUADALAJARA 44630 Jalisco
165,CHIVO CONSTRUCCIONES SA DE CV,AV LOS NORMALISTAS 447 nan ALCALDE BARRANQUITAS GUADALAJARA 44270 Jalisco
166,AUTO THERMOS DE GUADALAJARA SA DE CV,AV PERIFERICO 4113 nan SAN JUAN DE OCOTAN ZAPOPAN 45019 Jalisco
167,INGREDIENTES INTERNACIONALES  SA DE CV,LUIS DONALDO COLOSIO LT 12 nan INSURGENTES SUR EL SALTO 45690 Jalisco
168,MERCA SHOES  SA DE CV,SAN JUAN 362 A 12 EL COECILLO LEON 37260 Guanajuato
169,SUELAS DEL BAJIO  SA DE CV,PRIV GUTY CARDENAS 109 nan SAN NICOLAS LEON 37480 Guanajuato
170,SERVICIO DE TRANSPORTACION TURISTICA PALO VERDE  SA DE CV,EDUARDO VALDEZ VIZCARRA 820 nan ESTADIO MAZATLAN 82140 Sinaloa
171,"NUTRIALIMENTOS LIRA, SA DE CV",CALLE 13 2506 nan MERCADO DE ABASTOS GUADALAJARA 44530 Jalisco
172,TEQUILERA EL TRIANGULO  SA DE CV,AVENIDA  MIGUEL ANGEL 16 nan REAL VALLARTA ZAPOPAN 45020 Jalisco
173,COMERCIALIZADORA-GONZALEZ CARDENAS  SA DE CV,GORDIANO GUZMAN 87 nan VALLE DORADO ZAPOTLAN EL GRANDE 49095 Jalisco
174,JECOR  SA DE CV,MARCOS GORDOA 10 nan CIUDAD GUZMAN CENTRO ZAPOTLAN EL GRANDE 49000 Jalisco
175,GEOSINTETICOS DE MEMBRANAS LOS VOLCANES  SA DE CV,AVENIDA DEL TESORO 1866 2 CERRO DEL TESORO SAN PEDRO TLAQUEPAQUE 45608 Jalisco
176,PRODIAVES  SA DE CV,SAN MARCOS 203 P 1 ALA CAPITAL CITY AGUASCALIENTES 20207 Aguascalientes
177,BARUCH AUTOMOTRIZ SERVICE  SA DE CV,BLV BERNARDO QUINTANA 114 nan CARRETAS SANTIAGO DE QUERETARO 76050 Queretaro
178,"ESPACIO NT, SA DE CV",ADOLFO LOPEZ MATEOS 100 nan TROJES DE ALONSO AGUASCALIENTES 20116 Aguascalientes
179,CURTIDOS LUBER SA DE CV,PZINAPECUARO 105 nan MICHOACAN LEON 37240 Guanajuato
180,METRO ARQUITECTURA  SA DE CV,FAUNA 2380 nan BQUES DE LA VICTORIA GUADALAJARA 44540 Jalisco
181,ROM ZAP  SA DE CV,JUAN DE LA BARRERA 116 nan NIOS HEROES ENCARNACION DE DIAZ 47270 Jalisco
182,COMERCIALIZADORA CAIN  SA DE CV,DEL DESDEN 190 A  LOMAS DE SAN PEDRITO QUERETARO 76148 Queretaro
183,KR STONE  SA DE CV,PUNTA MITA 192 nan PUNTA JURIQUILLA QUERETARO 76230 Queretaro
184,DIVIMASA  SA DE CV,PALMAS SN nan BARRIO DE LA CRUZ SAN JUAN DEL RIO 76800 Queretaro
185,DUALA CASA DEL CONSTRUCTOR  SA DE CV,PROL LA 2 SUR 6371 nan LOMAS DEL SUR PUEBLA 72470 Puebla
186,FANTASIAS Y NOVEDADES BELXICO  SA DE CV,PRIVADA EMILIANO ZAPATA 5998 BODEGA C SAN BALTAZAR CAMPECH PUEBLA 72550 Puebla
187,HOTSON GROUP  SA DE CV,15 SUR 707 205 C LA PAZ PUEBLA 72160 Puebla
