,nombre,direccion
72,FERRETERA CANTABRIA  SA DE CV,BOULEVARD NORTE 2515 nan CLEOTILDE TORRES PUEBLA 72050 Puebla
73,AGREGADOS EL OCOTITO SA DE CV,CARRETERA FEDERAL PUEBLA PEROTE  KM 63 5 KM 63 5 SAN LUIS ATEXCAC GUADALUPE VICTORIA 75043 Puebla
74,PRODUCTOS QUIMICOS INDUSTRIALES DE PUEBLA  SA DE CV,LOTE 1B DE LA MANZANA 3 ANEXO 4 SN nan CORREDOR IND QUETZAT HUEJOTZINGO 74160 Puebla
75,IMPULSORA MEXICANA TEXTIL  SA DE CV,14 PONIENTE 513 A CENTRO PUEBLA 72000 Puebla
76,GQO INGENIERIA E INMOBILIARIA ESPECIALIZADA  SA DE CV,CALLE 16 01:00 a. m. nan SAN JOSE VISTA HERMO PUEBLA 72190 Puebla
77,"MINERALES YESAL, SA DE CV",17 ORIENTE 421 nan BARRIO SAN PABLO TECAMAC SAN PEDRO CHOLULA 72750 Puebla
78,TINTORERIA RAPIDA SA DE CV,VIA ATLIXCAYOTL 4931 L 4A#50A CONCEPCION LA CRUZ PUEBLA 72150 Puebla
79,GEINTERMAN  SA DE CV,PRIV O PRIVADA TIKAL 4905 nan REFORMA AGUA AZUL PUEBLA 72430 Puebla
80,"PINTURAS CUAUHTEMOC, SA DE CV",39 SUR 1710 nan BELISARIO DOMINGUEZ PUEBLA 72180 Puebla
81,GRUPO GASTRONOMICO HERMES  SA DE CV,BLV HEROES DEL 5 DE MAYO 3126 LOC 14 LADRILLERA DE BENITEZ PUEBLA 72530 Puebla
82,"WEB PRESS EQUIPMENT, SA DE CV",FRANCISCO JAVIER ECHEVERRIA 1336 nan INDUSTRIAL MONTERREY 64440 Nuevo Leon
83,ESPECIALISTAS EN PRODUCTOS DE SEGURIDAD INDUSTRIAL SA DE CV,PLAN DE SAN LUIS 201 nan ANTONIO I VILLARREAL MONTERREY 64390 Nuevo Leon
84,GARZA GALVAN Y ASOCIADOS  SA DE CV,MATAMOROS PTE 105 PTE nan CADEREYTA JIMENEZ CE CADEREYTA JIMENEZ 67480 Nuevo Leon
85,INTEGRAL DE EMPRESAS SA DE CV,HEROES DE NACOZARI 285 nan FERROCARRIL GUADALAJARA 44440 Jalisco
86,"GRUPO GAUREL, SA DE CV",CALLE GIRASOL 308 nan LA MAGDALENA ZAPOPAN 45200 Jalisco
87,GRUAS Y CARROCERIAS DE OCCIDENTE  SA DE CV,VOLCAN VESUBIO 6585 nan COLLI URBANO ZAPOPAN 45070 Jalisco
88,OPERADORA SALDI  SA DE CV,IGNACIO ZARAGOZA 17 nan LA SANTISIMA TEPOZTLAN 62520 Morelos
89,DEL MOBILE INDUSTRIAS  SA DE CV,TULYEHUALCO 826 B SAN SIMON CULHUACAN IZTAPALAPA 9800 CDMX
90,OPERADORA LISBOA  SA DE CV,J CLARO GARCIA 164 nan MAGISTERIAL CENTRO 86040 Tabasco
91,KICHPAN  SA DE CV,CALLE 30 118 nan CIUDAD DEL CARMEN CE CARMEN 24100 Campeche
92,VOZ MOVIL DE CHIAPAS SA DE CV,AV JUAN SABINES 12 A FOVISSSTE 2 TUXTLA GUTIERREZ 29024 Chiapas
93,"LOSETAS Y AZULEJOS, SA DE CV",CALZ JUSTO SIERRA 451 nan CUAUHTEMOC NORTE MEXICALI 21200 Baja California
94,COMERCIALIZADORA PAME  SA DE CV,12 DE DICIEMBRE 70 nan 12 DE DICIEMBRE URUAPAN 60130 Michoacan
95,FRANQUICIAS Y ASOCIADOS SANTARCE DE MEXICO  SA DE CV,CALLEJON DE LOS SUSPIROS 106 nan CAMPESTRE LA ROSITA TORREON 27250 Coahuila
96,AUTO VENTAS DE POZA RICA  SA DE CV,LAZARO CARDENAS S#N nan PALMA SOLA POZA RICA DE HIDALGO 93320 Veracruz
97,PURIFICADORES ECOLOGICOS DE OZONO  SA DE CV,JOSE MARIA ARTEAGA 107 nan VALLE DEL COUNTRY GUADALUPE 67174 Nuevo Leon
98,PEOPLE CARE INTERNACIONAL  SA DE CV,HACIENDA CHINTEPEC 110 12 EL JACAL SANTIAGO DE QUERETARO 76187 Queretaro
99,CSR GEO PRODUCTS  SA DE CV,CARRETERA A SAN LUIS KM 15 2 ######## EJIDO PUEBLA MEXICALI 21620 Baja California
100,CELULARES Y TECNOLOGIA DE LA COSTA SA DE CV,AVENIDA HIDALGO 22 nan CASIMIRO CASTILLO CENTRO CASIMIRO CASTILLO 48930 Jalisco
101,LUBRINOR  SA DE CV,ISAAC GARZA PTE 1742 B MONTERREY CENTRO MONTERREY 64000 Nuevo Leon
102,ELECTROCONSTRUCCIONES Y MONTACARGAS  SA DE CV,CALLE 27 313 nan CIUDAD MIRASIERRA SALTILLO 25016 Coahuila
103,SUPERKON  SA DE CV,BLVD ADOLFO LOPEZ MATEOS 42 A nan CHAPULTEPEC SAN JUAN DE SABINAS 26860 Coahuila
104,PLASTICOS Y LAMINAS DEL NORTE  SA DE CV,BLVD LUIS ECHEVERRIA 1751 nan CUMBRES SALTILLO 25254 Coahuila
105,COMERCIAL DE BOMBAS Y SERVICIOS INDUSTRIALES  SA DE CV,RUFINO TAMAYO 304 A ALPES SALTILLO 25270 Coahuila
106,PAPELERA ZARAGOZA Y PRODUCTOS  SA DE CV,CAMINO SIN NOMBRE SN nan SN CUERAMARO 36969 Guanajuato
107,"NUTRIFEED & FOOD, SA DE CV",CAMINO A LOMA DE FLORES SN nan MALVAS IRAPUATO 36547 Guanajuato
108,"FICERMEX, SA DE CV",OVIACHIC 1682 nan COMISION FEDERAL DE ELECTRICID IRAPUATO 36631 Guanajuato
109,MEDIOS ALTERNATIVOS DE PUBLICIDAD DEL BAJIO  SA DE CV,AV# LAZARO CARDENAS KM 2#2 nan RANCHO SECO CELAYA 38090 Guanajuato
110,TUBOS HIDRAULICOS DECELAYA  SA DE CV,A SAN JOSE DE GUANAJUATO 340 LOC 4 Y 5 SANTA ANITA CELAYA 38020 Guanajuato
111,FILTRACION DEL BAJIO SA DE CV,PARQUE LA MARGARITA 201 nan FRACC DEL PARQUE CELAYA 38020 Guanajuato
112,SEYFOR DE HIDALGO SA DE CV,REFORMA 103 nan REFORMA TULANCINGO DE BRAVO 43660 Hidalgo
113,XENQ RADIO TULANCINGO SA DE CV,AV JUAREZ SUR 107 nan CENTRO TULANCINGO DE BRAVO 43600 Hidalgo
114,PRODUCTOS PLASTIAPAN SA DE CV,MANUEL MEDINA 36 nan SAN RAFAEL APAN 43909 Hidalgo
115,EXPORTADORA DE METALES HIDALGO  SA DE CV,XOMETITLA 3 ######## ACELOTLA ZEMPOALA 43836 Hidalgo
116,"FERRETERIA AVILA, SA DE CV",JESUS CARRANZA 15 A nan BARRIO DE SAN JUAN ZUMPANGO 55600 Estado de Mexico
117,IENTC S DE RL DE CV,BOULEVARD BERNARDO QUINTANA 562 7 ARBOLEDAS QUERETARO 76140 Queretaro
118,DISTRIBUIDORES ELECTRICOS Y COMISIONISTAS  SA DE CV,CAMINO REAL A GUANAJUATO 1096 nan PRIVADA ESPA#ITA SAN LUIS POTOSI 78389 San Luis Potosi
119,PELUCHES JUQUILA  SA DE CV,7 NORTE 1401 C COL CENTRO PUEBLA 72000 Puebla
120,IMPORTADORA Y COMERCELECTRICA DEL GOLFO  SA DE CV,XICOTENCATL 1639 nan RICARDO FLORES MAGON VERACRUZ 91900 Veracruz
121,"VITANOVA, SA DE CV",AV LAS TORRES LT11 nan CD INDUSTRIAL BRUNO VERACRUZ 91697 Veracruz
122,COMERCIALIZADORA SALAS  SA DE CV,CARR A TORREON KM 64 SN nan RIO GRANDE RIO GRANDE 98400 Zacatecas
123,HILOS Y REDES DE ENSENADA  SA DE CV,CALZADA DE LAS AGUILAS Y ABASOLO 303 nan AVIACION ENSENADA 22840 Baja California
124,INSUMOS PARA AGUA POTABLE Y ALCANTARILLADO  SA DE CV,AV 17VA NORTE PONIENTE 1586 nan EL PEDREGAL TUXTLA GUTIERREZ 29030 Chiapas
125,"LACANJA HOTELERA, SA DE CV",BLV DR BELISARIO DOMINGUEZ 1380 nan JARDINES DE TUXTLA TUXTLA GUTIERREZ 29020 Chiapas
126,MATERIALES NUCAMENDI SA DE CV,4A ORIENTE NORTE 385 nan CENTRO SUCHIAPA 29150 Chiapas
127,INDUSTRIAS DEL PARAISO  SA DE CV,AV UNIVERSIDAD 1474 nan LA ARBOLEDA ZACAPU 58677 Michoacan
128,ESTRUCTURAS DE ALTURA  SA DE CV,OBSIDIANA 3922 A LOMA BONITA SUR ZAPOPAN 45086 Jalisco
129,MUNDO LUCIDO  SA DE CV,CALZADA AZCAPOTZALCO LA VILLA 668 N 1 INDUSTRIAL VALLEJO AZCAPOTZALCO 2300 CDMX
130,NIVEL TEXTIL  SA DE CV,ISABEL LA CATOLICA 182 PB OBRERA CUAUHTEMOC 6800 CDMX
131,MORALES OTEO SERVICIOS COMERCIALES SA DE CV,REPUBLICA DE CHILE 37 LOC 1 CENTRO AREA 2 CUAUHTEMOC 6010 CDMX
132,"VICTOR JEANS, SA DE CV",FRANCISCO I MADERO 67 802 CENTRO CUAUHTEMOC 6000 CDMX
133,CHOHANA  SA DE CV,REP DE ARGENTINA 90 nan CENTRO DE LA CIUDAD CUAUHTEMOC 6020 CDMX
134,GRUPO ESSENCE  SA DE CV,REP DE HONDURAS 79 3A CENTRO DE LA CIUDAD CUAUHTEMOC 6010 CDMX
135,EUROSTAR MACHINERY  SA DE CV,SOR JUANA 34 nan SANTA MARIA LA RIBER CUAUHTEMOC 6400 CDMX
136,PRODIAZA  SA DE CV,TOMAS ALVA EDISON 149 DEP107 P1 SAN RAFAEL CUAUHTEMOC 6470 CDMX
137,CUATRO SIGNOS COMERCIALIZADORA  SA DE CV,MUSEO 81 CASA 5 SAN PABLO TEPETLAPA COYOACAN 4620 CDMX
138,YANG JIUN  SA DE CV,AV MONTERREY 260 401 ROMA NORTE CUAUHTEMOC 6700 CDMX
139,BJJ TRADING  SA DE CV,HOMERO 1837 DTP1202B CHAPULTEPEC MORELOS MIGUEL HIDALGO 11510 CDMX
140,EDTOM  SA DE CV,PTE 128 543 nan IND VALLEJO AZCAPOTZALCO 2300 CDMX
141,DISTRIBUIDORA DE IMPLEMENTOS SISMORESISTENTES  SA DE CV,JOSE MARIA PEREDA 605 P 2 LOMAS DE CHAPULTEPEC MIGUEL HIDALGO 11000 CDMX
142,IMPORTADORA STELLA DORO  SA DE CV,CALLE DE LA VICTORIA 29 LOC A INDUSTRIAL ALCE BLANCO NAUCALPAN DE JUAREZ 53370 Estado de Mexico
143,BUSINESS SOLUTIONS INTERNATIONAL DE MEXICO  SA DE CV,SAN JERONIMO 255 A 10 TIZAPAN ALVARO OBREGON 1090 CDMX
144,PROFESIONALES EN TURISMO SA CV,LONDRES 161 TORRE A 3 B JUAREZ CUAUHTEMOC 6600 CDMX
145,NUBE REPRESENTACIONES INDUSTRIALES SA DE CV,ARTICULO 27 CONSTITUCIONAL 16 nan SAN BARTOLO ATEPEHUA GUSTAVO A MADERO 7730 CDMX
146,TALLERES GENERALES DE AERONAUTICA  SA DE CV,CALLE BOSQUES DE LIMAS 34 nan BOSQUES DE LAS LOMAS CUAJIMALPA DE MORELOS 5120 CDMX
147,TRANSPORTES RINOCERONTE  SA DE CV,CALZ GENERAL MARIANO ESCOBEDO 353 B 8A POLANCO V SECCION MIGUEL HIDALGO 11560 CDMX
148,"CORPORACION RAMSA, SA DE CV",AV JARDIN 494 nan POTRERO DEL LLANO AZCAPOTZALCO 2680 CDMX
149,EL AFAN DEL VALLE SA DE CV,AV UNIVERSIDAD 575 nan NARVARTE PTE BENITO JUAREZ 3020 CDMX
150,EJEMARIN  SA DE CV,INSURGENTES SUR 1216 405 TLACOQUEMECATL BENITO JUAREZ 3200 CDMX
151,EQUIPOS Y SERVICIOS WESTEK  SA DE CV,CASAS GRANDES 341 nan NARVARTE BENITO JUAREZ 3020 CDMX
152,CIBERNETICA EN EL SIGLO XXI  SA DE CV,SANTA FE 462B EDIF HIGH PARK SOTANO 1 OF 22 OTRA NO ESPECIFICADA EN EL CAT CUAJIMALPA DE MORELOS 5348 CDMX
153,EL ANCLA BOLSAS Y EMPAQUES  SA DE CV,HOJALATERIA 11 nan MORELOS VENUSTIANO CARRANZA 15270 CDMX
154,STATUS TRAVEL & LIFESTYLE  SA DE CV,PASEO DE LA REFORMA 350 11 JUAREZ CUAUHTEMOC 6600 CDMX
155,KOSHER BEEF  SA DE CV,MONTECITO 38 T 33 27 NAPOLES BENITO JUAREZ 3810 CDMX
156,PINVER CORP  SA DE CV,SOL DE MEXICO MZ 54 LT 1435 PRENSA NAL TLALNEPANTLA DE BAZ 54170 Estado de Mexico
157,CONSULTORIA T.I.  SA DE CV,AV AMSTERDAM 39 CASA 5 HIPODROMO CUAUHTEMOC 6100 CDMX
158,"TODO PARA INSTALAR, SA DE CV",MELCHOR OCAMPO 39 nan ANAHUAC I SECCION MIGUEL HIDALGO 11320 CDMX
159,"GRUPO ASERCOM, SA DE CV",AV IGNACIO MORONES PRIETO 2805 nan LOMAS DE SAN FRANCISCO MONTERREY 64710 Nuevo Leon
160,ALTA TECNOLOGIA EN LABORATORIOS  SA DE CV,MIGUEL ANGEL DE QUEVEDO 783 PISO 1 BARRIO DEL NINO JESUS COYOACAN 4330 CDMX
161,"FERREVARIOS HIDALGO, SA DE CV",CHIAPAS 6 nan CENTRO DOLORES HIDAL DOLORES HIDALGO CUNA DE LA IND 37800 Guanajuato
162,BIG COUNTRY  SA DE CV,KM 46 7 CARRET NUM 27 SN nan EL PINO NAMIQUIPA 31978 Chihuahua
163,BEETS TECHNOLOGIES SDE RL DE CV,PARQUE LIRA 61 PISO2 SAN MIGUEL CHAPULTEPEC I SECCI MIGUEL HIDALGO 11850 CDMX
164,ASOCIADOS EN VIALIDADES Y EDIFICACIONES AVIESA  SA DE CV,REFORMA 508 nan GEOVILLAS DE SAN MAT TOLUCA 50227 Estado de Mexico
165,BONYROL  SA DE CV,ANTONIO SOTO Y GAMA 81 nan RANCHO NUEVO INFONAVIT GUADALAJARA 44247 Jalisco
166,COLORES NATURALES DEMEXICO SA DE CV,AV DEL MARQUES 2 F PARQUE INDUSTRIAL BE EL MARQUES 76246 Queretaro
167,DESARROLLADORA ZANTE SA DE CV,NICARAGUA 917 16   1 ARBIDE LEON 37360 Guanajuato
168,CGB LOGISTICA Y ADMINISTRACION  SA DE CV,CALZ COSTA VERDE 1310 nan COSTA VERDE BOCA DEL RIO 94294 Veracruz
169,GPO OP ESP EN SEGURIDAD PRIV MELIDER SA DE CV,545 121 nan SAN JUAN DE ARAGON I SECCION GUSTAVO A MADERO 7969 CDMX
170,DISTRIBUIDORA DE AUXILIARES Y QUIMICOS VARIOS SA DE CV,CEDRO MZA 582 LTE 26 BOSQUES DE CEYLAN TLALNEPANTLA 54170 Estado de Mexico
171,CIMA DISTRIBUCION DEMATERIALES ELECTRIC OS  SA DE CV,18 DE MARZO 12 nan EL MIRADOR TLALNEPANTLA DE BAZ 54080 Estado de Mexico
172,CANTEADOS Y BISELADOS DE MEXICO  SA DE CV,FRANCISCO ESPEJEL 97 nan MOCTEZUMA 1A SECC VENUSTIANO CARRANZA 15500 CDMX
173,SERVIELECTRICA 3LD INSTALACIONES Y MATERIALES  SA DE CV,CAROLINA BARRET MZ 16 LT 15 PARQUE METROPOLITANO GUSTAVO A MADERO 7149 CDMX
174,NEUMATICOS INDUSTRIALES Y SERVICIOS  SA DE CV,AV AZCAPOTZALCO LA VILLA 801 B INDUSTRIAL VALLEJO AZCAPOTZALCO 2300 CDMX
175,ART TECNICA  SA DE CV,GRAL SOSTENES ROCHA 101 nan COVE ALVARO OBREGON 1120 CDMX
176,DISTRIBUIDORA MEDIHC SA DE CV,SERAPIO RENDON 84 PB SAN RAFAEL CUAUHTEMOC 6470 CDMX
177,TELACIRC  SA DE CV,DURANGO 269 15 ROMA NORTE CUAUHTEMOC 6700 CDMX
178,"DISTRIBUIDORA CYMA, SA DE CV",AYUNTAMIENTO 102 A CENTRO DE LA CD DE M CUAUHTEMOC 6070 CDMX
179,P&A METALS  SA DE CV,LAGOS DE MORENO 17 nan LA LAGUNA TLALNEPANTLA DE BAZ 54190 Estado de Mexico
180,PERSAOSA  SA DE CV,CALLE 6 18 nan REFORMA SOCIAL MIGUEL HIDALGO 11650 CDMX
181,GRUAS PASO MORELOS  SA DE CV,CARRETERA NACIONAL MEXICO ACAPULCO KM 178 nan PASO MORELOS HUITZUCO DE LOS FIGUEROA 40143 Guerrero
182,CORRUGADOS Y ESPECIALIDADES SA DE CV,PORFIRIO DIAZ SN MZ24LT11 VALLE DE TULES TULTITLAN 54945 Estado de Mexico
