,nombre,direccion
0,LIBROS DE SAWADE S DE RL DE CV,TEHUANTEPEC 50 L UNICO ROMA SUR CUAUHTEMOC 6760 CDMX
1,SERVICIOS DE INGENIERIA NOAR  SA DE CV,LOMA ALTA 114 nan LOMAS RESIDENCIAL PA PACHUCA DE SOTO 42094 Hidalgo
2,ELECTRON INGENIERIA  SA DE CV,LATERAL AUTOPISTA MEX PUEB 44 A MANZANA 75 LT 01 DARIO MARTINEZ I SEC VALLE DE CHALCO SOLIDARIDAD 56619 Estado de Mexico
3,GRUPO VEROMO  SA DE CV,MANUEL GUTIERREZ NAJERA 161 nan OBRERA CUAUHTEMOC 6800 CDMX
4,CORPORATIVO ALFA  SA DE CV,AV UNIDAD MODELO 17 nan ERMITA IZTAPALAPA IZTAPALAPA 9360 CDMX
5,LICEAGARQUITECTURA DISEO Y CONSTRUCCION SA DE CV,AGUSTIN GUTIERREZ 46 4 B GENERAL PEDRO MARIA ANAYA BENITO JUAREZ 3340 CDMX
6,CONSTRUCTORA E INGENIERIA HERAYAX  SA DE CV,PLAZA COAJOMULCO 34 nan DR ALFONSO ORTIZ TIRADO IZTAPALAPA 9020 CDMX
7,GRUPO JAZIME  SA DE CV,CALLE SANTA MARIA 1103 nan VICTORIA DE DURANGO DURANGO 34000 Durango
8,REDIRMEX  SA DE CV,MARIANO OTERO 3441 A 0 LA CALMA ZAPOPAN 45070 Jalisco
9,COMERCIALIZADORA BOLYPROM  SA DE CV,JUSTO SIERRA 2505 nan LADRON DE GUEVARA GUADALAJARA 44600 Jalisco
10,INAPP SOLUTIONS  SA DE CV,CALZ ZAVALETA 1108 1104 SANTA CRUZ BUENAVIST PUEBLA 72150 Puebla
11,"SUAJES DE PRECISION, SA DE CV",VOLCAN CEBORUCO 1905 nan EL COLLI URBANO 1A SECCION ZAPOPAN 45070 Jalisco
12,CONSTRUCCION Y MANTENIMIENTO DE VIAS  SA DE CV,CALLE DOS 34 nan JESUS GARCIA TLALNEPANTLA DE BAZ 54120 Estado de Mexico
13,GASTRONOMIA AG SA DE CV,AV AGUASCALIENTES 408 nan BOSQUES DEL PRADO NO AGUASCALIENTES 20127 Aguascalientes
14,"COMERCIAL RAC, SA DE CV",HEROES DE 1914 50 205 8 DE AGOSTO ALVARO OBREGON 1180 CDMX
15,MARYEL EXPERTOS EN ADMINISTRACION DE RECURSOS  SA DE CV,AV 2A NORTE PONIENTE 633 PLANTA A BARRIO DE GUADALUPE TUXTLA GUTIERREZ 29000 Chiapas
16,BRD ARTE  SA DE CV,CALLE CEIBA SSM 336 M2 L18 nan ALFREDO V BONFIL BENITO JUAREZ 77560 Quintana Roo
17,SUPER SERVICIO ACUEDUCTOMORELIA  SA DE CV,AV ACUEDUCTO 1408 nan CHAPULTEPEC NORTE MORELIA 58260 Michoacan
18,PLASTICOS FIT SA DE CV,FILADELFIA 182 403 4 NAPOLES BENITO JUAREZ 3810 CDMX
19,PROVEEDORA ELECTRICADEL MAYO SA DE CV,BLVD RAFAEL J ALMADA 2108 SUR JUAREZ NAVOJOA 85870 Sonora
20,"PENSION CREEL, SA DE CV",LOPEZ MATEOS 61 nan OTRA NO ESPECIFICADA EN EL CAT BOCOYNA 33200 Chihuahua
21,CCM MECANIZADOS  SA DE CV,CAHUACALTZINGO 1 nan LAS SALINAS AZCAPOTZALCO 2360 CDMX
22,"MEMME, SA DE CV",SAN AGUSTIN 1 nan PUEBLO NVO DE MORELO ZUMPANGO 55600 Estado de Mexico
23,COMUNICACIONES MEXIQUENSES  SA DE CV,GUADALUPE VICTORIA 916 D23Y24 LA PURISIMA METEPEC 52140 Estado de Mexico
24,INDUSTRIA ITALIANA TRAFILATI ACCIAIO  SA DE CV,AVENIDA LIBERTAD 2835 nan SAN FRANCISCO TOTIME PUEBLA 72595 Puebla
25,COESA INGENIERIA Y SERVICIO SA DE CV,VALLARTA 7 nan LA CONCEPCION COYOACAN 4020 CDMX
26,INTERNATIONAL PRINTING SERVICES DE MEXICO SOLUTIONS  SA DE CV,MARIO ROJAS AVENDANO 140 nan SAN SIMON TICUMAC BENITO JUAREZ 3660 CDMX
27,MERCA SOLUCIONES  SA DE CV,AV ALVARO OBREGON 124 nan ROMA NORTE CUAUHTEMOC 6700 CDMX
28,TRANSPORTES ESPECIALIZADOS ARIAS  SA DE CV,BAJA CALIFORNIA MZ 1 LT 1 MARGARITO F AYALA TECAMAC 55764 Estado de Mexico
29,MONTAJES ELECTROMECANICOS Y TUBERIAS  SA DE CV,FRANCISCO VILLA 61 nan PROGRESO GPE VICTORIA ECATEPEC 55010 Estado de Mexico
30,REFRI COMERCIAL MARIN GUIZAR  SA DE CV,LIBRAMIENTO SUR ORIENTE 613 nan FRACC BONAMPAK TUXTLA GUTIERREZ 29080 Chiapas
31,REDES Y ASESORIAS DEL MAYAB  SA DE CV,CALLE 35 479 E nan JESUS CARRANZA MERIDA 97109 Yucatan
32,CPM PUBLICIDAD SA DE CV,GUILLERMO GONZALEZ CAMARENA NUM 1000 1000 403 SANTA FE ALVARO OBREGON 1210 CDMX
33,"VELAZQUEZ FOCOS, SA DE CV",REPUBLICA DE COLOMBIA 54 A CENTRO DE LA CD DE M CUAUHTEMOC 6020 CDMX
34,"INTERSISTEMAS, SA DE CV",AGUIAR Y SEIJAS 75 nan LOMAS DE CHAPULTEPEC MIGUEL HIDALGO 11000 CDMX
35,CONSTRUCCIONES OBRASY MANTENIMIENTOS IN DUSTRIALES  SA DE CV,LAGUNAS DE LA ASUNCION 108 nan NUEVA OXTOTITLAN TOLUCA 50100 Estado de Mexico
36,STANDARD TESTING SERVICES  SA DE CV,AV LOS ALPES 120 A LOMAS DE CHAPULTEPEC I SECCION MIGUEL HIDALGO 11000 CDMX
37,JOANA IMPORTADORA Y COMERCIALIZADORA  SA DE CV,ESPANITA 60 L A # LAS PALMAS TECAMAC 55755 Estado de Mexico
38,"NAVIFIESTA GARCIA, SA DE CV",FRAY S T DE MIER 418 LOC A ZONA CENTRO VENUSTIANO CARRANZA 15100 CDMX
39,OMNIMALIA SERVICIOS INTEGRALES PARA ANIMALES  SA DE CV,FRESAS 8 nan TLACOQUEMECATL DEL VALLE BENITO JUAREZ 3200 CDMX
40,GRUAS ERMITA  SA DE CV,CALZ DE TLALPAN 1627 nan COL PORTALES BENITO JUAREZ 3300 CDMX
41,ECOCLIM  SA DE CV,REVILLAGIGEDO 34 LOC B CENTRO AREA 5 CUAUHTEMOC 6050 CDMX
42,ASESORES EN LIMPIEZAGALI  SA DE CV,TOLUCA 5 0 ROMA SUR CUAUHTEMOC 6760 CDMX
43,MIDI CORPORACION Y SERVICIOS  SA DE CV,C LUIS BRAILE 65 nan SAN SIMON TICUMAC BENITO JUAREZ 3660 CDMX
44,"SENTIES CHAUVET, AGENTE DE SEGUROS Y DE FIANZAS  SA DE CV",INSURGENTES SUR 1457 PISO 14 INSURGENTES MIXCOAC BENITO JUAREZ 3920 CDMX
45,OPTIMIZACION ADMINISTRATIVA SA DE CV,AV INSURGENTES SUR 949 301 NAPOLES BENITO JUAREZ 3810 CDMX
46,LOVA IMPRESORES  SA DE CV,FRANCISCO I MADERO 189 nan PROVIDENCIA AZCAPOTZALCO 2440 CDMX
47,"NUTRICLUB, SA DE CV",INSURGENTES NORTE 103 3#4 GUERRERO CUAUHTEMOC 6300 CDMX
48,CLUTCH Y FRENOS DIESEL  SA DE CV,LATONEROS 64 nan TRABAJADORES DE HIERRO AZCAPOTZALCO 2650 CDMX
49,QUIMICA SAGITARIO SA DE CV,AVE ADOLFO LOPEZ MATEOS 5 nan MEXICO NUEVO ATIZAPAN DE ZARAGOZA 52966 Estado de Mexico
50,"AMERICA IMPRESORES, SA DE CV",FAISAN 40 nan GRANJAS MODERNAS GUSTAVO A MADERO 7460 CDMX
51,"ORIGINALES KUKI, SA DE CV",CJON ALFREDO CHAVERO 176 nan TRANSITO CUAUHTEMOC 6820 CDMX
52,"ALGELY GUADALUPANA, SA DE CV",4A AV 42 nan VIRGENCITAS NEZAHUALCOYOTL 57300 Estado de Mexico
53,ELECTRO MUSICAL ECATEPEC SA DE CV,VIA MORELOS 77 A JAJALPA ECATEPEC 55040 Estado de Mexico
54,"SITMA, SA DE CV",NORTE 48 3713 nan EMILIANO ZAPATA GUSTAVO A MADERO 7889 CDMX
55,GRUPO COMERCIAL CAC  SA DE CV,CANADA 11 401 402 PLAZAS DE LA COLINA TLALNEPANTLA DE BAZ 54080 Estado de Mexico
56,INTEGRACION EN ALTA TECNOLOGIA INFORMATICA  SA DE CV,GUANABANA 192 22 NUEVA SANTA MARIA AZCAPOTZALCO 2800 CDMX
57,CIEN PORCIENTO PLATA SA DE CV,BOSQUES DE DURAZNOS 39 LOCAL 10 BOSQUE DE LAS LOMAS MIGUEL HIDALGO 11700 CDMX
58,MAQUINARIA PESADA DEL PRADO  SA DE CV,PSO DEL ALBA 118 nan JARDINES DEL ALBA CUAUTITLAN IZCALLI 54750 Estado de Mexico
59,QUIMICOS Y BIOLOGICOS ESP  SA DE CV,LA GRAN VIA 94 nan RESIDENCIAL EL DORADO TLALNEPANTLA DE BAZ 54020 Estado de Mexico
60,"GRUPO JORUMA, SA DE CV",CARRETERA MEXICO TOLUCA 1725 nan COOPERATIVA PALO ALT CUAJIMALPA DE MORELOS 5110 CDMX
61,JOSEPH TEXTIL  SA DE CV,JESUS MARIA 4 LOCAL C CENTRO AREA 6 CUAUHTEMOC 6060 CDMX
62,EDIFICACIONES METALICAS GILBERT  SA DE CV,SANTA LUCIA MZ 18 C LT 3 CARLOS HANK GONZALEZ IZTAPALAPA 9700 CDMX
63,TRADING COMERCE GROUP MEXICO  SA DE CV,MONTECITO 38 P26 OF11 NAPOLES BENITO JUAREZ 3810 CDMX
64,CONTROL Y MANEJO URBANO DE PLAGAS  SA DE CV,ANGEL IRIN MANZANA 10 LOTE 7 A 13 A CLAUSTROS DE SAN MIG CUAUTITLAN IZCALLI 54719 Estado de Mexico
65,GRUPO TRIKALA  SA DE CV,CIRCUNVALACION PONIENTE 4 B CIUDAD SATELITE NAUCALPAN 53100 Estado de Mexico
66,COMERCIALIZADORA Y SUMINISTROS GODE  SA DE CV,CORONA 32 nan CERVECERA MODELO NAUCALPAN DE JUAREZ 53330 Estado de Mexico
67,SAMPLE AND TEST MEXICO  SA DE CV,SOR JUANA INES DE LA CRUZ 23 nan STA MARIA LA RIBERA CUAUHTEMOC 6400 CDMX
68,"NST MEXICO, SA DE CV",AV DE LAS GRANJAS 239 nan JARDIN AZPEITIA AZCAPOTZALCO 2530 CDMX
69,"TINTA Y PLUMA, SA DE CV",11 ORIENTE 1806 nan AZCARATE PUEBLA 72501 Puebla
70,JL ILUMINACION SA DE CV,CALZADA ZAVALETA 1706 4 A SANTA CRUZ BUENAVIST PUEBLA 72170 Puebla
71,"LABEQUIM , SA DE CV SA",25 ORIENTE 217 nan SAN PEDRO MEXICALTZI SAN PEDRO CHOLULA 72762 Puebla
